date,fuel_type,variable_group,variable_name,unit,value,__rowNumber,value_original,unit_original,rate_currency,value_per_liter_equivalent,value_per_KL_equivalent,value_per_cylinder_equivalent,standardization_status,standardization_note
2026-04-03,ATF_DP,cost,transportation,NRs_per_KL,6728.64,125,6728.64,NRs_per_KL,NRs,6.72864,6728.64,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,transportation,NRs_per_KL,6728.64,126,6728.64,NRs_per_KL,NRs,6.72864,6728.64,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,transportation,NRs_per_cylinder,0,127,0,NRs_per_cylinder,NRs,,,0,kept_per_cylinder,
2026-04-03,Petrol,cost,petroleum_dealer_expenses,NRs_per_KL,6496.91,128,6496.91,NRs_per_KL,NRs,6.49691,6496.91,,converted_from_per_KL,
2026-04-03,Diesel,cost,petroleum_dealer_expenses,NRs_per_KL,5174.13,129,5174.13,NRs_per_KL,NRs,5.17413,5174.13,,converted_from_per_KL,
2026-04-03,Kerosene,cost,petroleum_dealer_expenses,NRs_per_KL,4628.78,130,4628.78,NRs_per_KL,NRs,4.62878,4628.78,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,petroleum_dealer_expenses,NRs_per_KL,0,131,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,petroleum_dealer_expenses,NRs_per_KL,0,132,0,NRs_per_KL,NRs,0,0,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,petroleum_dealer_expenses,NRs_per_cylinder,301.01,133,301.01,NRs_per_cylinder,NRs,,,301.01,kept_per_cylinder,
2026-04-03,Petrol,cost,landed_cost,NRs_per_KL,206624.3,134,206624.3,NRs_per_KL,NRs,206.6243,206624.3,,converted_from_per_KL,
2026-04-03,Diesel,cost,landed_cost,NRs_per_KL,276428.13,135,276428.13,NRs_per_KL,NRs,276.42813,276428.13,,converted_from_per_KL,
2026-04-03,Kerosene,cost,landed_cost,NRs_per_KL,220495.89,136,220495.89,NRs_per_KL,NRs,220.49589,220495.89,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,landed_cost,NRs_per_KL,227869.9,137,227869.9,NRs_per_KL,NRs,227.8699,227869.9,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,landed_cost,NRs_per_KL,263397.54,138,263397.54,NRs_per_KL,NRs,263.39754,263397.54,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,landed_cost,NRs_per_cylinder,1811.51,139,1811.51,NRs_per_cylinder,NRs,,,1811.51,kept_per_cylinder,
2026-04-03,Petrol,cost,total_cost_noc_without_vat,NRs_per_KL,213121.21,140,213121.21,NRs_per_KL,NRs,213.12121,213121.21,,converted_from_per_KL,
2026-04-03,Diesel,cost,total_cost_noc_without_vat,NRs_per_KL,281602.26,141,281602.26,NRs_per_KL,NRs,281.60226,281602.26,,converted_from_per_KL,
2026-04-03,Kerosene,cost,total_cost_noc_without_vat,NRs_per_KL,225124.67,142,225124.67,NRs_per_KL,NRs,225.12467,225124.67,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,total_cost_noc_without_vat,NRs_per_KL,227869.9,143,227869.9,NRs_per_KL,NRs,227.8699,227869.9,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,total_cost_noc_without_vat,NRs_per_KL,263397.54,144,263397.54,NRs_per_KL,NRs,263.39754,263397.54,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,total_cost_noc_without_vat,NRs_per_cylinder,2112.52,145,2112.52,NRs_per_cylinder,NRs,,,2112.52,kept_per_cylinder,
2026-04-03,Petrol,cost,total_cost_noc_with_vat,NRs_per_KL,236360.15,146,236360.15,NRs_per_KL,NRs,236.36015,236360.15,,converted_from_per_KL,
2026-04-03,Diesel,cost,total_cost_noc_with_vat,NRs_per_KL,302540.31,147,302540.31,NRs_per_KL,NRs,302.54031,302540.31,,converted_from_per_KL,
2026-04-03,Kerosene,cost,total_cost_noc_with_vat,NRs_per_KL,246062.72,148,246062.72,NRs_per_KL,NRs,246.06272,246062.72,,converted_from_per_KL,
2026-04-03,ATF_DP,cost,total_cost_noc_with_vat,NRs_per_KL,256746.01,149,256746.01,NRs_per_KL,NRs,256.74601,256746.01,,converted_from_per_KL,
2026-04-03,ATF_DF,cost,total_cost_noc_with_vat,NRs_per_KL,263397.54,150,263397.54,NRs_per_KL,NRs,263.39754,263397.54,,converted_from_per_KL,
2026-04-03,LP_Gas,cost,total_cost_noc_with_vat,NRs_per_cylinder,2326.37,151,2326.37,NRs_per_cylinder,NRs,,,2326.37,kept_per_cylinder,
2026-04-03,Petrol,cost,total_cost_noc_per_liter,NRs_per_liter,236.36,152,236.36,NRs_per_liter,NRs,236.36,236360,,converted_from_per_liter,
2026-04-03,Diesel,cost,total_cost_noc_per_liter,NRs_per_liter,302.54,153,302.54,NRs_per_liter,NRs,302.54,302540,,converted_from_per_liter,
2026-04-03,Kerosene,cost,total_cost_noc_per_liter,NRs_per_liter,246.06,154,246.06,NRs_per_liter,NRs,246.06,246060,,converted_from_per_liter,
2026-04-03,ATF_DP,cost,total_cost_noc_per_liter,NRs_per_liter,256.75,155,256.75,NRs_per_liter,NRs,256.75,256750,,converted_from_per_liter,
2026-04-03,ATF_DF,cost,total_cost_noc_per_liter,NRs_per_liter,263.4,156,263.4,NRs_per_liter,NRs,263.4,263400,,converted_from_per_liter,
2026-04-03,LP_Gas,cost,total_cost_noc_per_liter,NRs_per_cylinder,2326.37,157,2326.37,NRs_per_cylinder,NRs,,,2326.37,kept_per_cylinder,
2026-04-03,Petrol,selling_price,retail_price_per_liter,NRs_per_liter,202,158,202,NRs_per_liter,NRs,202,202000,,converted_from_per_liter,
